Company,Year,Quarter,Summary
Starbucks Corporation,2018,Q2,"80% cash return number does include or not include stores in east china . our goal is for our cold beverages to be a must-have by leveraging innovative ways of marketing . in the quarter, Starbucks outgrew the overall coffee industry by a 3-to-1 margin . the consolidation of East China is now expected to add approximately 2 points of growth to total company EPS . in the afternoons, we are introducing a new marketing platform around this new beverage lineup . the company is taking a long-term view, but the opportunity is significant . now we can look at this routine by store-specific data . ""digital connection"" allows us to reach as many non-Rewards customers as we can reach . the company is also expanding its digital reach beyond Rewards customers . after just a couple of Happy Hours, we know we're on the right track . for Q&A, we will be joined by Roz Brewer, chief operating officer and group president, Americas ."
Starbucks Corporation,2018,Q3,"east china comp has been somewhat below the rest of Mainland china . for Q&A, we will be joined by Roz Brewer, chief operating officer and group president, Americas . sustainability is 1 of 3 of our social impact priorities . to modernize and elevate the third place, our first priority is improving in-store experience . draft, refreshers, tea and Cold Brew platforms are where we can further differentiate, premiumize and continue to lead the market . a focus on digital is expected to drive an incremental 1 to 2 points of comp by year coffee-meets-ice cream product line doubling to 1,100 locations . cold foam caramel macchiato, green tea latte and Cold Brew are all big hits . CAP revenues exceeded $1 billion for the second straight quarter, reaching a record $1.2 billion . we're building some of the most profitable stores in the world, and it is about store expansion . all of our core categories, except for Frappuccino, grew in the quarter . espresso beverages and our coffee are performing at higher AUVs and higher profitability than any other part of the country . it's completely core to the move towards cold beverages and iced coffees ."
Starbucks Corporation,2018,Q4,"this includes our updated expectation that the global coffee alliance transaction will lower 2019 non- GAAP growth by 1 to 2 points . strong beverage performance was driven by innovation in key platforms, including Cold Brew and Refreshers . the company is looking forward to expanding the program and leveraging more of those digital relationships . in-store improvements and tangible changes that put customers first are key to success, he writes . strong beverage performance driven by innovation in key platforms, including Cold Brew and Refreshers . Starbucks Delivers will be unlike any other competitor is doing in the market . no particular beverage or food item or geography. we saw a nice sharp turn on PSL coming out of this season . we invite you to an exclusive pre-opening tour of the next Starbucks Reserve Roastery . we will be taking you on a pre-tour of the coffee shop before it opens ."
Starbucks Corporation,2019,Q1,"within the quarter, we saw a nice improvement in the number of Starbucks Rewards customers . the coffee chain reported record revenue of $6.6 billion in the fourth quarter . he cites improved brand awareness, sharper and cleaner holiday merchandising . with the additional $5 billion accelerated share repurchase plan, we have now returned over $14 billion . iced beverages continued to lead this growth across all dayparts . channel development segment reported a revenue decline of 20% in Q1 . we've introduced innovation with splashproof lids for hot and cold beverages . delivery is contributing in the mid-single-digit range to our transaction mix . CAP expects to have 100% delivery coverage by the end of '19 or '20 . the results of east china are fully embedded in the guidance that we provided previously . all members will now be able to redeem from the start, no more levels to hurdle like instant goals . this program rolls out in the second quarter, so we're looking forward to see cold espresso does extremely well for us, which is why we're expanding it . we've introduced innovation with splashproof lids for hot and cold beverages ."
Starbucks Corporation,2019,Q2,"Starbucks announced a $2 billion accelerated share repurchase plan in march . channel development segment reported a revenue decline of 21% in Q2 . the global coffee alliance exceeded our expectations during the second quarter . the company has embraced modern-day methodologies to accelerate innovation . in the second quarter, we expanded our active member base by 0.5 million customers . the team in china accomplished this in only 4 months . beverage, our highest-margin category, contributed 3 points of comp sales growth in Q2 . registered non-SR digital relationships grew to 15.3 million . this is the quarter that we introduced the new multi-tier redemption plan . teamworks is our labor scheduling initiative, and it allows our schedule accuracy to improve . Kevin R. Johnson has transitioned a number of markets to licensed partners . the company continues to grow net units at a rate of 3% to 4% per year ."
Starbucks Corporation,2019,Q3,"this was driven by the strength in our North American ready-to-drink business . we are introducing the Chinese consumer to premium arabica coffee . a customer favorite, Nitro Cold Brew, remains on track to be deployed across all stores . we now have 9.1 million active Rewards members in china . beverage and food contributed 6 points and 1 point of comp sales growth . this was driven by the strength in our North American ready-to-drink business . a 50 basis point ex streamline margin improvement seems modest in the context of a 6% global sales comp . in the u.s. and specifically our U.S. business, margin expansion was tempered due to higher inventory reserves . the company announced and rolled out mobile order and pay in late may in 300 stores . new program allows members to achieve Stars within 2 to 3 visits . the 2-year traffic in the u.s., same-store traffic has been around 0 . the company received an equity stake in return for the software license and a board seat . it's a strategic move to get a front row seat on next-generation innovation ."
Starbucks Corporation,2019,Q4,"the company is also rolling out predictive analytics into its machines . we will be providing select presentation materials, which can be accessed via webcast . coffee contributed 5 points of our U.S. comp sales growth in the fourth quarter . barclays is rolling out its deep brew machines internationally . we continue to see very strong economic returns . in the Americas, when I look at the operating expenses, it looks like it has grown faster than top line . the company is very optimistic about the single-serve opportunity that exists around the world . machine learning and our applications to fuel deep brew are fueling that work ."
Starbucks Corporation,2020,Q1,"in this quarter, we opened our first convenience store in new york . a healthy balance of comparable sales growth and new store development as well as continued expansion with Nestlé . sales from china's mobile orders jumped to 15% of total revenue . last week, Starbucks was named one of Fortune's Most Admired Companies . we will formalize our 2030 environmental goals and our strategies based on what we have learned . our cold platform continues to resonate with customers during all seasons . the global coffee alliance is performing very well around the world . coffee is a large and growing addressable market . the company has 600 stores planned for china . increase in consumption tax took place in early October . the multi-tier redemption program is still approaching a year in terms of its full national rollout ."
Starbucks Corporation,2020,Q2,"Starbucks decided to close drive-throughs because of social distancing . we estimate the COVID-19 impact to non-GAAP operating income to be approximately $700 million . 80% of the occasions are to-go in the u.s. and 80% in china . if there is a silver lining, I think it is forming a new habit in China . the company is confident it will be able to maintain appropriate liquidity as it manages the current crisis . we expect this burn rate to go down as we begin reopening large numbers of company-operated stores in the month of may . the economic implications following COVID are sort of yet to be determined . the company has followed local mandates for closure for a period of time ."
Starbucks Corporation,2020,Q3,"a new curbside pickup experience will be available in 700 to 1,000 locations by the end of this quarter . engagement with Starbucks Rewards customers outpaced non-Starbucks Rewards members . disruption to weekday morning routines, notably, commuting to work and school, is a headwind . we are shifting more beverage and food menu items to include plant-based options . the company invested $350 million in 3 key areas in the quarter . company expects that margin recovery for each business will trail sales recovery by about 2 quarters . we saw a much better flow-through for profit performance than we did improvement in sales . the morning routine business is going to be the most difficult to build back . the company expects to continue to see what we thought in 250-store test trial . plant-based is becoming very popular, whether it's the Impossible breakfast sandwich . Starbucks closed all its stores with the exception of drive-throughs in April . the chain has since closed all of its stores in the u.s."
Starbucks Corporation,2020,Q4,"company expects to gain significantly more members in fiscal 2021 of those 90-day active members . we've launched the GOOD GOOD campaign earlier this year, which is our plant-based beverages . at the onset of COVID, ticket comp in the U.S. company-operated stores accelerated to 25% . despite the challenging environment imposed by the pandemic, we opened almost 260 stores in the fourth quarter alone . Americas' sales and profitability trended positively across the quarter . but a shift in mobile order & pay could potentially lead to labor efficiencies . new formats include curbside stores at 800 in the u.s., 2,000 of those by the end of '21 . the incremental 200 store closures that we've announced will create shareholder value . operator introducing fall beverages around Pumpkin Spice and the cold brew product . we've launched the GOOD GOOD campaign earlier this year, which is our plant-based beverages . drive-throughs are doing well, and we're also seeing movement towards purchasing your coffee at stores near your home ."
Starbucks Corporation,2021,Q1,"today, our business in china recovered in line with our expectations . coffee outperformed our expectations in Q1, driven by strength in breakfast wraps, the Impossible Breakfast Sandwich . mobile order sales mix hit a record 30% of the company's china sales . the improvement was primarily due to pandemic-related operating restrictions across several states . i am thrilled to pass the CFO baton to Rachel Ruggeri . a strong member growth is surpassing pre-COVID highs, but it's pushing well behind. we're seeing just an expansion of our customer and just more love for the brand as we apply SFE. as we recover sales and build from that point, we anticipate margin expansion . a 20,000 square foot tryer center in the u.s. helps offset wage increase . coffee, tea & cocoa customers are using the brand now versus the past . the shift to plant-based beverages is a positive for margin on the beverage side ."
Starbucks Corporation,2021,Q2,"we added 1 million new active members just in the last quarter alone . the global coffee alliance with Nestlé has now taken us from fundamentally 2 markets to over 71 markets . in the U.S., comparable store sales rose to an impressive 9% . deep brew is now doing predictive analytics to model vaccination progress in key markets around the world . coffee's work in AI is providing Starbucks the underlying predictive models . the popularity of our innovative menu offerings also benefited U.S. ticket growth . however, our usual 1-year reported comps are expected to be outsized as we lap the depth of fiscal '20's pandemic impacts . the suburban drive-through is doing really well, the central business districts lagging . company closed 800 stores across the u.s. in a quarter . we did not do any involuntary layoffs or furloughs . labor shortages are not a widespread issue at this time . ""investment continues to be part of why we're guiding our margins the way we are"" coffee demand is expected to grow at a favorable CAGR in the coming years . the company has been able to, in the u.s., now be the #1 brand down the aisle in terms of share . Tiffany willis, vice president of investor relations, welcomes everyone to conference call . conference call will be held on tuesday, october 21 ."
Starbucks Corporation,2021,Q3,"international segment performance adversely impacted by virus resurgences in Japan . the vast majority of customers who use these alternative payment methods are new or reengaged members . the coffee addressable market is large and growing rapidly . cold beverages are generally ticket and margin accretive . we're renovating 150 constrained drive-through stores to design a new engine . coffee's global revenue reached $7.5 billion in Q3 . sporadic virus resurgences continue to impair consumer mobility in some markets . no other F&b retailer or specialty coffee brands possess our speed, quality, coverage of our national footprint . we have price locked on our coverage for the next 14 months . the company's partners are doing yeoman's work in terms of creating that great experience . we're reinvesting now in customer service training ."
Starbucks Corporation,2021,Q4,"the decision to pay our partners with no lapse, no furloughs, was a big strategic decision . ""when it comes to pricing, we continue to be very thoughtful and very strategic in how we look at pricing"" cold beverages accounted for 75% of beverage sales in the quarter . we grew a strong 2-year comp to 11% in Q4 despite variance across the country . urban stores have returned to a positive comp performance for the second quarter in a row . repositioning nearly 600 stores in the u.s. helped drive a faster recovery than others in the industry . barclays is 14 months price-locked on coffee . several months of inventory are in the warehouse . coffee is currently priced at £8.99 a cup ."
Starbucks Corporation,2022,Q1,"in the international segment, we set a Q1 revenue record as the segment reached $1.9 billion . the lion's share of that is inflationary pressures related to Omicron . we saw strong beverage mix growth across, in particular, cold beverages . accelerated inflation, extended COVID-related pay and increased spend on new partner training and support costs . inflation at its highest level in decades . drive-thrus had its fourth straight quarter of double-digit comp growth . the team is also working on eliminating low-volume food items . turnover in the u.s. might have surprised you in the most recent quarter ."
Starbucks Corporation,2022,Q2,"we're seeing increasing inflationary pressures across our supply chain . licensed partners are seeing the strength of our brand . despite this, we experienced negligible customer attrition . federal law prohibits us from promising new wages and benefits at union-organized stores . we expect mobility restrictions to continue under the country's zero-COVID policy . china continues to battle COVID resurgences and navigate through prolonged lockdowns . the collective nature of that gets to about $1 billion in this year alone . the move on wage for the majority of our hourly partners is part of what we already committed to earlier this year . we also increase to full staffing levels in our stores and having all channels open . as we've come through COVID, we experienced significant challenges on staffing stores . as we . have come through, we had significant . challenges ."
Starbucks Corporation,2022,Q3,"the strong revenue growth we delivered in North America is being replicated globally . our SR members had a higher member spend, all-time high . the company is expanding the premium customized cold coffee category around the world . the growth was partly offset by the severe impacts of COVID lockdowns across china . the program is designed to personalize the experience for our green aprons . average weekly sales were 30% up versus pre-pandemic levels . BTIG's third pillar was reimagining the stores . a new and more innovative equipment will help with overall efficiency . international has developed an in-house proprietary cold brew system . that's currently deployed to all stores across the united states . we added 107 net new stores in Q3 with our new stores continuing to deliver great returns . the lion's share of what's happening is driven by the restrictions in china ."
Starbucks Corporation,2022,Q4,"based on the current environment, we expect foreign currency translation to have approximate 4 percentage point unfavorable impact . in milan and italy, our top-selling beverage is actually a solo espresso . the Starbucks Rewards program in the u.s. grew 90-day active members . inflationary headwinds and deleverage related to COVID restrictions in china impacted operating margin . channel development continued to play a vital role in differentiation, diversifying and amplifying our brand . modifiers have grown in double digits year-over-year . together, we'll accelerate coffee culture and overall category adoption . we're in constant contact side-by-side with our partners to ensure they know we were there . the relevance of the brand is not the coffee your parents drink, but the coffee that young people are choosing ."
Starbucks Corporation,2023,Q1,"average weekly sales in the u.s. reached a record high . Starbucks continues to roll out Starbucks Connect, enabling licensed stores to offer all Starbucks Mobile Order & Pay and Rewards benefits . we are seeing a true tailwind and continued recovery coming out of the pandemic . customization and how customers are creating their own proprietary beverage is a strategic advantage . foot traffic is recovering and ramping up in commercial areas ."
Starbucks Corporation,2023,Q2,"coffee is a powerful way to make connection with others and with yourself . 90-day active rewards membership added more than 400,000 members in the u.s. 'scaled profitable innovation is one of the things that fuels our performance' the company exceeded expectations in Q2 fiscal year 2023 by nearly all measures . 12% comp growth in both north and the united states for the second quarter . 90-day active rewards membership added more than 400,000 members in the u.s. we are seeing lower levels of attrition and greater stabilization in our retail talent . laxman Narasimhan is seeing a strong pickup in the program of tipping that we have scaled across our store network ."
Starbucks Corporation,2023,Q3,"cold foam blenders are now rolled out to all company-operated stores in the u.s. new equipment investments are elevating the Starbucks experience . the company continues to elevate the premium coffee experience in both cold and hot . coffee has a clear opportunity to maximize efficiencies and effectiveness while reducing waste . chief supply chain officer Arthur Valdez, Jr. will be critical in these efforts . we've been and will continue to stay focused and disciplined in our discount investment . the company has made investments in machine learning and artificial intelligence . laxman Narasimhan is on track to launch the Siren System in new stores next year . the company is looking to deliver experiential convenience in an omnichannel way ."
Starbucks Corporation,2023,Q4,"the international segment delivered $2 billion in revenue . in the fourth quarter, we celebrated our 5-year partnership with the global coffee alliance with Nestle . fiscal year 2024 global comp growth is expected to be 5% to 7% . in the fourth quarter, total company revenue reached a record $9.4 billion . full year revenue reached $36 billion, representing 12% growth year- over-year for fiscal 2023 . we also experienced record double-digit revenue growth internationally in the quarter . fiscal year 2023 double-digit earnings growth was a direct result of revenue growth and margin expansion . just wondering if you could offer any color on whether there's been any change in consumer behavior in recent months . laxman's transactions per store per day improved this quarter versus last quarter and the year before ."
Starbucks Corporation,2024,Q1,"despite these headwinds, we remain committed to our full year fiscal 2024 EPS growth . the company is also ramping up promotional activities for Rewards customers . we also saw strong growth in our loyalty programs, sequentially increased in frequency and record spend among our loyal customers . the overall market weakness led to significantly increased pricing competition . the company is expanding its partnership with doordash . bank of americana will be our next Starbucks Rewards partner . our digital channels accounted for a record 52% of sales, up 4 percentage points . the average tech decline in the u.s. is 9%, a steep decline . the company is also ramping up promotional activities for Rewards customers . millennials are drinking cold coffee to start their day every day . laxman is continuing to innovate on hot beverages just as we did today with the launch of Oleato beverages . the 3 beverage platforms have gone through a rigorous set of tests and measures . the 3 beverages platforms have been tested on a variety of different platforms . they have been able to offer a wide variety of beverages to customers ."
Sysco Corporation,2016,Q1,"we think the team is off to a really good start . the acquisition will be accretive to earnings per share by low to mid-single digits in fiscal 2017 . on an aggregate basis, we had fairly minor impact from FX for this quarter . we expect it to continue to grow along with Canada, a foundational part of our business ."
Sysco Corporation,2017,Q1,"sure continues to have a positive trend in its loyalty metrics . despite the loss of sales and reduced productivity caused by hurricanes, sales were up 5% . what is the margin opportunity at Brakes today when you look at the delta versus where you sit in the U.S. the increase in our local customers is another 82 basis point improvement . the private label business is up 62 basis points . we feel great about the partnership we've had with the mayca in Costa Rica . ajay jain with Pivotal Research Group LLC wishes you good luck in your retirement ."
Sysco Corporation,2017,Q2,"the company is raising its 3-year adjusted income growth target to approximately $600 million to $650 million through 2018 . for the quarter, sales were positively impacted by the addition of Brakes, partially offset by deflation of 1.8% in U.S. Broadline ."
Sysco Corporation,2017,Q3,"u.s. foodservice delivered solid operating income growth and improved operating margins by 34 basis points . the call will begin with opening remarks and introductions . despite the continued softness in Alberta, we are pleased with our performance . we expect modest inflation for our fourth quarter of fiscal 2017 in our U.S. Broadline business . dairy and produce will for all the reasons be up and down from time to time . the market hated the fact that your total case growth was roughly flat ."
Sysco Corporation,2017,Q4,"in industry, there's no big secular trends going on . a recent acquisition of the Brakes Group helped drive sales and adjusted operating income . the pace of the transition from deflation to inflation has been fairly rapid . barclays is confident in its ability to grow gross profit dollars despite inflation ."
Sysco Corporation,2018,Q1,"reclassification on other income was a pretty big swing this quarter . today, we will begin with opening remarks and introductions . in Europe, performance for the quarter met our expectations . we still expect to see decent gross profit growth as similar to what we've talked about externally . in a deflationary environment, you typically have less gross profit dollars . based on the recent performance at brakes and SYGMA, you mentioned a more moderate rate of earnings growth . one of you guys referenced increasing overtime . reclassification on other income was a pretty big swing this quarter ."
Sysco Corporation,2018,Q2,"the industry is facing driver availability challenges, which is leading to increased lane rates . the company experienced inflation across all of its segments in the second quarter . some of the acute performance that you saw this quarter is related to calendarization . we expect inflation to continue at kind of the same pace that it has been . also had an increase in the CMU business, so that national account business . the overall shortage of drivers is there . start-up costs, fuel costs, increased investments in international impacted second quarter . the calendar move was a one-time thing in the European or the U.K. a little bit relative strengthening in the sterling and the Canadian dollar is really what's driven that ."
Sysco Corporation,2018,Q3,"the summer season seems to be a big season . Crédit Suisse is on track to achieve its 3-year plan financial objectives . sales grew 6.1% to $14.3 billion, driven by strong performance from our local customers . based on the CAGNY disclosure, it's only EPS . the more freight on the road obviously creates pressure for everybody ."
Sysco Corporation,2018,Q4,"overall macroeconomic trends continue to be positive in the united states . the company's success is a direct result of the dedication and hard work of associates . we expect to deliver continued strong top line fundamentals and improved cost management . there's been talk about incremental freight challenges from one of your largest competitors . in the U.K. and France in particular, we think once we get there, that will be a competitive advantage . the food-away-from-home industry is seeing pretty good trends ."
Sysco Corporation,2019,Q1,"the results in the international segments were impacted by foreign exchange rates . a lot of expense associated with new hires is associated with training and development . all signs of the economy are doing well despite some broader global concerns . if you take a look at some of the way our cash flow has gone, you should get a good sense . the company is focusing on penetration, which is the most efficient case ever . a modest level of inflation is expected over the next few quarters . ""canadian regionalization"" is having some effect, at least in terms of profitability . there was some very unusual pricing behavior this quarter because of the beef processing fire . a number of different state cuts actually in the spot market spiked up considerably ."
Sysco Corporation,2019,Q2,"sysco experienced 1.4% inflation driven by a few categories . we will begin with opening remarks and introductions . if inflation has continued into January, we're expecting modest levels of inflation . we replaced the chief legal officer and promoted a talented woman named Eve McFadden . headcount reductions are the largest bucket among the cost-cutting initiatives . the cost-cutting initiatives are mostly focused on U.S. operations . joining us in Houston are Ed Shirley, Kevin Hourican and Joel Grade ."
Sysco Corporation,2019,Q3,"despite recent choppy restaurant industry data, overall macro trends remain favorable . in April, we acquired two smaller central california distributors . the U.K. continues to feel the effects of Brexit uncertainty, causing depressed consumer confidence . there has been naturally no change in terms of our perspective on capital- llocation priorities . there's no change to the breakout between gross profit and then the Supply Chain . black box and KNAPP-TRACK are probably more consistent in calling traffic down . inbound freight part of our business does hit our gross margin . we're up against some real major challenges in that regard . but we'd like to see a little more topline growth in this last quarter ."
Sysco Corporation,2019,Q4,we've had about one fairly significant hit per quarter that has impacted us . we will begin with opening remarks and introductions . macroeconomic indicators continue to be relatively positive . the macroeconomic environment for the geographies in which we serve remains relatively negative . some of the losses are driven by more aggressive distribution fees than what we've been comfortable with . we're seeing some increased competition in certain geographies and segments .
Sysco Corporation,2020,Q1,"the vast majority will flow through to the bottom line . the company is doing more than anyone in the foodservice distribution industry to ensure the success of the restaurants that we serve . regionalization within our U.S. Broadline business is also on track . it's on-prem dining is what has been closed . pending cold weather will have an impact on outdoor patio dining . about 2/3 of our cost structure is variable whereas the rest would be fixed . a pilot program is being piloted in many different sectors . it's going to be across essentially all of the major sectors, but one is an important one . ""we've helped many, many thousands of customers with those experiences"" a stand-alone company getting put into a portfolio now with a whole bunch of concepts ."
Sysco Corporation,2020,Q2,"results in canada softened for the quarter as a result of a slowing economy . this includes the divestiture of Iowa Premium, our beef processing facility . if you're a national customer, you basically had 50 points of contact, which is suboptimal . over time, we do believe it'll be a more efficient model . we've been hearing about continued disciplined approach to profitable growth . there's no panic button being pushed for us in terms of the market itself . the impact of the african swine flu has actually been very minimal . bofA Merrill Lynch is well positioned to manage through those things in a better way ."
Sysco Corporation,2020,Q3,"we are very confident in the long-term success of Sysco . there is some view that there will be inflationary pressure on the meat side . the company has built more than $6 billion of cash and available liquidity . but they have fewer drive-throughs in Europe than in the united states . in the u.k., we are shipping more than 200,000 meal kits per week on behalf of Defra . food away from home is struggling right now with substantial volume decreases to prior year . in less than 2 weeks, Sysco has helped thousands of restaurants create product marketplaces . share opportunities are already emerging as SYGMA won a substantial piece of new business . however, we have booked an additional reserve to reflect estimated exposure . the company intends to use the proceeds to repay commercial paper borrowings . we've started a campaign called #takeout to create awareness around help that small business operator . wells fargo expects to have some inflationary impacts on beef due to plant closures ."
Sysco Corporation,2020,Q4,"we saw mixed results throughout our Latin American countries of operations . cnn's richard quest will discuss the state of the current business environment . the company is undertaking a bold transformation . we are calling these combined efforts our corporate modernization . we had $115 million of incentive pay accrual reversals that favorably impacted operating expenses . good operators win all the time and others that struggle at times struggle . the most recent week was our strongest week since the beginning of the pandemic . before COVID, we were posting our highest case growth in the independent sector . if there's a silver lining in the cloud, the impetus for change has never been higher . the cloud is a 'silver lining' in the clouds ."
Sysco Corporation,2021,Q1,"""the vast majority of the expenses that we are putting forth are what we call transitory or 2-way doors"" the rollout of our periscope pricing system means we have more tools than ever before . with the aging of America, they call this Silver Tsunami, we actually view health care as a growth opportunity for our company for the longer term . we are below our historical fill rate standards . how long it will take for a fill rate to improve is subject for debate . it's also providing quick selling bulletins to our sales teams and  a driver retention bonus has a noticeable and visible positive impact . a mom-and-pop independent restaurant operates similar to a consumer and retail . travel and hospitality business and industry are two notable examples that remain behind . the u.s. tourism and hospitality industry is one of the most important examples ."
Sysco Corporation,2021,Q2,"the international segment has been hard hit due to tougher restrictions in the countries in which we operate . we are also improving our go-to-market selling strategy . We experienced deleveraging during the second quarter as sales dropped 23% from prior year . net promoter score increased by more than 1,000 basis points in the quarter . we are also improving our go-to-market selling strategy . the average tenure of our market and regional leaders is over 20 years . lockdown restrictions during December reversed earlier progress . wells fargo's recovery is hurting near-term results, especially when the industry sees some setbacks . the company had to cut delivery frequency back in what is our period of April, May and June . we experienced deleveraging during the second quarter as sales dropped 23% from prior year . the average order per customer is currently down because of COVID . retention of your own employees and Net Promoter Scores should be tied together . john heinbockel will be full-time focused on improving our international strategy . the good news is that pricing software is being warmly embraced by our sales consultants ."
Sysco Corporation,2021,Q3,"in the last 2 weeks of the quarter, we began to lap the onset of the COVID-19 crisis . in the u.k., our biggest opportunity is to win new independent local customers . we see good news in the recent reopening taking place in the united kingdom . SYGMA is our lowest-margin segment, and we will be taking an opportunity to transition away from a large existing regional customer . if the nation went to a $15 minimum, we do not have pressure in that regard . GP dollars, however, hopefully, would be in a growth mode . retail grocers eliminated promos because they didn't need them anymore . the biggest players in this space have been net winners since the beginning of this pandemic . the strength of the local independent customer in fully reopened markets exceeds expectations . sure, Nicole, we're going to change the name of the driver piece to be more reflective of the work . 'it's been a challenging market overall' Europe has not yet reopened . the u.k. opened up outdoor dining 2 weeks ago ."
Sysco Corporation,2021,Q4,"we expect sales for the enterprise to exceed fiscal '19 sales by mid-single digits . our international segment broke even for the quarter, reflecting a $92 million profit improvement . the company exceeded its $350 million cost-out goal during the year . if governments choose to impact dining, on-prem dining, that would have an impact . consumer spending power is robust and strong, as featured on Slide 8 . primary difference between our GAAP EPS and adjusted EPS was the impact of debt tender premium payment . but we expect gross profit dollars to grow with sales and maintain dollar per case profit . barclays bank's earnings guidance bumped $0.10 in fiscal '22 . we've got sectors that haven't moved up the recovery curve . the good news is we are in decent shape nationally, and we hit that target . if governments put restrictions back on operators, that won't be necessary . we haven't seen any form of a slowdown in July on a week-by-week basis . but that's not a problem ."
Sysco Corporation,2022,Q1,"a strong start to the year gives us confidence in reaffirming our full year guidance . if you think back to the sales reference we had in Q4, we had high single digits in Q1 . a strong start to the year gives us confidence in reaffirming our full year guidance . over time, the percentage of associates trained from within Sysco will grow . largely frozen pension plan remains fully funded . a strong financial foundation gives Sysco the opportunity to continue to advance our strategy . the business is on track year-to-date and is making progress on the Recipe For Growth . a number of initiatives have been successful in driving market share per account . the company is focusing on corporate national bid sectors and health care, education and restaurants . we're making steady progress on what we call on time and in full shipment . the ability for us to ship on time has improved as staffing health has improved ."
Sysco Corporation,2022,Q2,"the company is getting much more effective at recruiting for open positions . the southern 1/3 of the united states continues to perform very well . a higher population of less experienced associates has a direct negative impact on supply chain productivity . we are watching post-lockdown trends carefully . despite short-term impact of Omicron, our bottom line results were below our expectations . labor wage rate is immaterial to the cost pressure that we experienced in Q2 . rehire rate is sign of an improving labor market and could help with productivity . the headwind in the u.s. is in the urban centers in the north . a wave of restrictions and continued labor pressures has impacted their ability to stay in business . we do not expect wage rate increases to be long-term or even medium-term increases . the loyalty program pilots in the u.s. are being piloted ."
Sysco Corporation,2022,Q3,"the third quarter started with COVID-related disruptions from the Omicron variant . the company closed on the Coastal Companies acquisition in the last quarter . we've converted that incredibly important population of ours to a 4-day workweek . the positive momentum was strong across geographies and across different customer types . impact of the invasion of Ukraine on our business has been getting upfront . it's still meaningfully down versus historical standards, supplier inbound fill rate to Sysco . our size and scale can enable us to have preferred advantage with manufacturers . ghost kitchens order food, which is good for Sysco because it increases drop size . a truck going out of 6 days is a good thing, not a bad thing, so it leverages our capability . if you have a follow-up question, please reenter the queue . it's still meaningfully down versus historical standards, supplier inbound fill rate to Sysco ."
Sysco Corporation,2022,Q4,"we are not planning for a deflationary environment, though some categories may be individually inflationary . a customer personalization engine provides our customers with unique offers that meet their specific needs . we fully converted our supply chain to a full 6-day service week . despite these challenges, we're closely monitoring macroeconomic pressures and data points related to food inflation . we are increasingly confident in our longer-term guidance provided in may of 2021 . there are bright days ahead for Sysco, and we're both excited and proud to be a part of the journey . there is no notable call-out to report on shift within restaurant sectors . that point alone results in a productivity rate that is below, therefore, our historical average . it was a very difficult year for SYGMA as fuel costs rose significantly . higher turnover and negative impact of higher turnover was major pain point ."
Sysco Corporation,2023,Q1,"the biggest overhang for the space at this point is probably around case volumes . he is bullish on the impact that he will have on his expanded geographic territory . the biggest overhang for the space at this point is probably around case volumes . ""grown local"" is a big part of our long-term vision for Recipe for Growth . we are very focused on what we can control, and that's a strong harbinger of things to come . the profit profile of the national accounts is actually up versus historical norms . if you look at the actual core drivers, our transportation cost per piece improved . operator We have reached our allotted time for questions ."
Sysco Corporation,2023,Q2,"we're growing in mid-single digits, but it's not the growth we had budgeted a year ago . today's conference call will begin with opening remarks and introductions . to ensure we have sufficient time to answer all questions, we ask that you disconnect your lines . a labor dispute that impacted three of our operating sites negatively impacted sales and case volumes in the second quarter . the overall market growth rate is an industry-wide issue, while the labor dispute was a Sysco-specific challenge . labor dispute pressured our expenses for the we are able to share inventory across two Sysco houses . the focus on sustainability and DEI is the right thing to do . that outperformance is coming from across the board, business health . a labor dispute in 3 of our sites pressured our operating expenses ."
Sysco Corporation,2023,Q3,"the fourth quarter to reflect a positive trend of gross profit dollar growth outpacing operating expense growth . academies have a meaningful impact on reducing turnover for our new hires . industry macro volume trends softened in march, which we expect to continue into Q4 . the company is now live in over 300-plus neighborhoods across five countries . we are excited to welcome Kenny Cheung to the Sysco family as CFO . perks is an invitation-only program that provides whiteflservice, marketing services . more than 11,000 customers enrolled is exceeding our expectations . the more associates get put on to a Sysco truck, the more they make . we will continue to drive operating leverage in our business . our balance sheet continues to be healthy and robust . a penny for our business is huge, given the scale and leverage that we enjoy . the company posted the most profitable quarter in its history . the return on invested capital is the lens in which we will operate . ."
Sysco Corporation,2023,Q4,"a we expect top line growth of mid-single digits and positive volume growth . there are quite a few other levers that we have as an enterprise besides pricing . despite rapid disinflation and slower overall industry volume growth, we believe our success in spite of those conditions, positions the business to be successful in 2025 . freshpoint announced an agreement to purchase BIX Produce . the first question will come from Edward Kelly at Wells Fargo . the rapid rate of inflation increased this past year put a strain on the american consumer . a 3-year veteran is much more productive than a 2-day newbie . specialty and meat businesses are doing a really good job, as is our next 10-year specialty business with Italian . a centralized pricing tool and price optimization work can change that, according to analysts . a question-and-answer session will follow the formal presentation . ""local operators do a wonderful job of buying local,"" says the presenter ."
Sysco Corporation,2024,Q2,"this is the fifth consecutive quarter of positive operating leverage and the 11th consecutive quarter with double-digit growth . this will increase expected total shareholder returns, including dividends . a small acquisition with ready chef in ireland signaled a shift in strategy . there are fewer jobs that are open, so general staffing health is better ."
